kpi_name,business_area,candidate_status,required_by_business_requirements,supported_by_data,relevant_to_retail_performance,non_duplicative,source_dataset,source_columns,decision,decision_reason
Total Revenue,Sales & Revenue,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,order_revenue,Approved,Core retail revenue KPI supported by engineered order-level revenue.
Total Order Value,Sales & Revenue,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,total_order_value,Approved,Measures total customer order value including item price and freight.
Average Order Value,Sales & Revenue,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,order_revenue; order_id,Approved,Core efficiency KPI linking revenue and order volume.
Monthly Revenue,Sales & Revenue,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,monthly_features.csv,monthly_revenue; year_month,Approved,Tracks revenue performance over time.
Monthly Revenue Growth,Sales & Revenue,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,monthly_features.csv,monthly_revenue; year_month,Approved,Measures month-over-month revenue change.
Rolling 3-Month Revenue,Sales & Revenue,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,monthly_features.csv,monthly_revenue; year_month,Approved,Smooths short-term volatility for trend analysis.
Total Orders,Orders,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,order_id,Approved,Core transaction volume KPI.
Average Items per Order,Orders,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,items_per_order,Approved,Measures basket size using engineered order-level item counts.
Total Customers,Customers,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,customer_features.csv,customer_unique_id,Approved,Measures distinct customer base size.
Repeat Customer Rate,Customers,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,customer_features.csv,customer_unique_id; repeat_customer_flag,Approved,Measures customer retention and repeat purchasing behavior.
Customer Lifetime Revenue,Customers,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,customer_features.csv,customer_lifetime_revenue,Approved,Supports customer value analysis at customer grain.
Average Customer Order Value,Customers,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,customer_features.csv,average_customer_order_value,Approved,Supports comparison of average order value across customers.
Category Revenue,Products & Categories,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,order_items_features.csv,item_revenue; product_category,Approved,Identifies category contribution to revenue.
Category Revenue Share,Products & Categories,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,order_items_features.csv,item_revenue; product_category,Approved,Measures each category's contribution to total revenue.
Product Revenue,Products & Categories,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,order_items_features.csv,item_revenue; product_id,Approved,Identifies revenue-generating products.
Seller Revenue,Sellers,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,order_items_features.csv,item_revenue; seller_id,Approved,Measures seller contribution to revenue.
Seller Order Count,Sellers,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,order_items_features.csv,order_id; seller_id,Approved,Measures seller transaction participation using distinct orders.
Revenue by Customer State,Geography,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv; customers_processed.csv,order_revenue; customer_state,Approved,Supports geographic revenue performance analysis.
Total Payment Value,Payments,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,payment_value_per_order,Approved,Measures total payment amounts independently from revenue.
Payment Method Share,Payments,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,payments_processed.csv,payment_type; payment_value,Approved,Measures payment method contribution by payment value.
Average Payment Installments,Payments,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,number_payment_installments,Approved,Measures installment usage across eligible orders.
Multi-Payment Order Rate,Payments,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,multi_payment_flag; order_id,Approved,Measures the share of orders using multiple payment records.
Average Delivery Time,Delivery & Operations,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,delivery_time_days,Approved,Measures average fulfillment time from purchase to delivery.
Average Processing Time,Delivery & Operations,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,processing_time_days,Approved,Measures time from purchase to carrier handoff.
On-Time Delivery Rate,Delivery & Operations,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,on_time_delivery_flag; late_delivery_flag,Approved,Measures delivery performance against estimated delivery dates.
Late Delivery Rate,Delivery & Operations,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,late_delivery_flag; on_time_delivery_flag,Approved,Measures the share of classified deliveries completed late.
Average Delivery Difference,Delivery & Operations,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,delivery_difference_days,Approved,Measures average deviation between actual and estimated delivery dates.
Total Freight Value,Delivery & Operations,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,order_items_features.csv,freight_value,Approved,Measures total shipping cost charged across order items.
Freight-to-Price Ratio,Delivery & Operations,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,order_items_features.csv,freight_value; item_revenue; freight_to_price_ratio,Approved,Measures shipping cost relative to item value.
Average Review Score,Customer Satisfaction,Approved,Not explicitly specified — business requirements placeholder,Yes,Yes,Yes,orders_features.csv,review_score,Approved,Primary customer satisfaction KPI using order-level review scores.
