timestamp,dataset,column,issue,rule,action,rows_affected,rows_before,rows_after,rationale,status
2026-08-19T13:48:11,customers,__DATASET__,Generic preprocessing,"Normalize data types, timestamps, numerics, text, categories and NULL representations",PREPROCESS,99441,99441,99441,Apply reusable preprocessing without deleting records or imputing business values.,APPLIED
2026-08-19T13:48:11,customers,customer_zip_code_prefix,ZIP prefix without geolocation match,Customer records must not be removed solely because geolocation enrichment is unavailable,RETAIN,278,99441,99441,Geolocation is a reference/enrichment source. An unmatched ZIP prefix does not invalidate the customer record.,APPLIED
2026-08-19T13:48:17,geolocation,__DATASET__,Generic preprocessing,"Normalize data types, timestamps, numerics, text, categories and NULL representations",PREPROCESS,1000163,1000163,1000163,Apply reusable preprocessing without deleting records or imputing business values.,APPLIED
2026-08-19T13:48:18,geolocation,__FULL_ROW__,Exact full-row duplicates,Remove exact duplicate geolocation records while retaining one occurrence,DEDUPLICATE,261831,1000163,738332,Geolocation is a reference/enrichment dataset without a source primary key. Exact duplicate rows provide no additional analytical information.,APPLIED
2026-08-19T13:48:19,orders,__DATASET__,Generic preprocessing,"Normalize data types, timestamps, numerics, text, categories and NULL representations",PREPROCESS,99441,99441,99441,Apply reusable preprocessing without deleting records or imputing business values.,APPLIED
2026-08-19T13:48:19,orders,order_delivered_carrier_date,Carrier date before purchase timestamp,order_delivered_carrier_date must be >= order_purchase_timestamp,SET_INVALID_TIMESTAMP_TO_NULL,166,99441,99441,"The timestamp violates chronological integrity. The source does not provide enough information to infer the correct timestamp, so the invalid value is removed rather than fabricated.",APPLIED
2026-08-19T13:48:19,orders,order_delivered_customer_date,Customer delivery before carrier handover,order_delivered_customer_date must be >= order_delivered_carrier_date,SET_INVALID_TIMESTAMP_TO_NULL,23,99441,99441,The delivery timestamp violates chronological integrity. The correct timestamp cannot be safely inferred from the available source fields.,APPLIED
2026-08-19T13:48:19,orders,order_delivered_customer_date,Delivered order missing customer delivery timestamp,Delivered status normally implies a customer delivery timestamp,RETAIN_NULL,31,99441,99441,The source does not provide a reliable value for the missing timestamp. No timestamp is fabricated and the order is not deleted solely because the delivery timestamp is missing.,APPLIED
2026-08-19T13:48:19,orders,order_delivered_carrier_date,Delivered order missing carrier handover timestamp,Delivered status normally implies a carrier handover timestamp,RETAIN_NULL,167,99441,99441,The missing timestamp cannot be reliably reconstructed. The transaction remains valid and is retained.,APPLIED
2026-08-19T13:48:20,order_items,__DATASET__,Generic preprocessing,"Normalize data types, timestamps, numerics, text, categories and NULL representations",PREPROCESS,112650,112650,112650,Apply reusable preprocessing without deleting records or imputing business values.,APPLIED
