TEST_ID,DATASET,COLUMN,QUALITY_DIMENSION,RULE,EXPECTED,ACTUAL,FAILED_COUNT,FAILURE_RATE,SEVERITY,STATUS
DQ-EXIST-CUSTOMERS,customers,__DATASET__,Completeness,Expected raw dataset file must exist,Dataset exists,Dataset exists,0,0.0,NONE,PASS
DQ-EXIST-GEOLOCATION,geolocation,__DATASET__,Completeness,Expected raw dataset file must exist,Dataset exists,Dataset exists,0,0.0,NONE,PASS
DQ-EXIST-ORDERS,orders,__DATASET__,Completeness,Expected raw dataset file must exist,Dataset exists,Dataset exists,0,0.0,NONE,PASS
DQ-EXIST-ORDER_ITEMS,order_items,__DATASET__,Completeness,Expected raw dataset file must exist,Dataset exists,Dataset exists,0,0.0,NONE,PASS
DQ-EXIST-PAYMENTS,payments,__DATASET__,Completeness,Expected raw dataset file must exist,Dataset exists,Dataset exists,0,0.0,NONE,PASS
DQ-EXIST-REVIEWS,reviews,__DATASET__,Completeness,Expected raw dataset file must exist,Dataset exists,Dataset exists,0,0.0,NONE,PASS
DQ-EXIST-PRODUCTS,products,__DATASET__,Completeness,Expected raw dataset file must exist,Dataset exists,Dataset exists,0,0.0,NONE,PASS
DQ-EXIST-SELLERS,sellers,__DATASET__,Completeness,Expected raw dataset file must exist,Dataset exists,Dataset exists,0,0.0,NONE,PASS
DQ-EXIST-CATEGORY_TRANSLATION,category_translation,__DATASET__,Completeness,Expected raw dataset file must exist,Dataset exists,Dataset exists,0,0.0,NONE,PASS
DQ-SCHEMA-CUSTOMERS,customers,__DATASET__,Conformity,Dataset schema must contain all expected columns,"Required columns=['customer_id', 'customer_unique_id', 'customer_zip_code_prefix', 'customer_city', 'customer_state']","rows=99441, columns=5, missing_columns=[], unexpected_columns=[]",0,0.0,NONE,PASS
DQ-SCHEMA-GEOLOCATION,geolocation,__DATASET__,Conformity,Dataset schema must contain all expected columns,"Required columns=['geolocation_zip_code_prefix', 'geolocation_lat', 'geolocation_lng', 'geolocation_city', 'geolocation_state']","rows=1000163, columns=5, missing_columns=[], unexpected_columns=[]",0,0.0,NONE,PASS
DQ-SCHEMA-ORDERS,orders,__DATASET__,Conformity,Dataset schema must contain all expected columns,"Required columns=['order_id', 'customer_id', 'order_status', 'order_purchase_timestamp', 'order_approved_at', 'order_delivered_carrier_date', 'order_delivered_customer_date', 'order_estimated_delivery_date']","rows=99441, columns=8, missing_columns=[], unexpected_columns=[]",0,0.0,NONE,PASS
DQ-SCHEMA-ORDER_ITEMS,order_items,__DATASET__,Conformity,Dataset schema must contain all expected columns,"Required columns=['order_id', 'order_item_id', 'product_id', 'seller_id', 'shipping_limit_date', 'price', 'freight_value']","rows=112650, columns=7, missing_columns=[], unexpected_columns=[]",0,0.0,NONE,PASS
DQ-SCHEMA-PAYMENTS,payments,__DATASET__,Conformity,Dataset schema must contain all expected columns,"Required columns=['order_id', 'payment_sequential', 'payment_type', 'payment_installments', 'payment_value']","rows=103886, columns=5, missing_columns=[], unexpected_columns=[]",0,0.0,NONE,PASS
DQ-SCHEMA-REVIEWS,reviews,__DATASET__,Conformity,Dataset schema must contain all expected columns,"Required columns=['review_id', 'order_id', 'review_score', 'review_comment_title', 'review_comment_message', 'review_creation_date', 'review_answer_timestamp']","rows=99224, columns=7, missing_columns=[], unexpected_columns=[]",0,0.0,NONE,PASS
DQ-SCHEMA-PRODUCTS,products,__DATASET__,Conformity,Dataset schema must contain all expected columns,"Required columns=['product_id', 'product_category_name', 'product_name_lenght', 'product_description_lenght', 'product_photos_qty', 'product_weight_g', 'product_length_cm', 'product_height_cm', 'product_width_cm']","rows=32951, columns=9, missing_columns=[], unexpected_columns=[]",0,0.0,NONE,PASS
DQ-SCHEMA-SELLERS,sellers,__DATASET__,Conformity,Dataset schema must contain all expected columns,"Required columns=['seller_id', 'seller_zip_code_prefix', 'seller_city', 'seller_state']","rows=3095, columns=4, missing_columns=[], unexpected_columns=[]",0,0.0,NONE,PASS
DQ-SCHEMA-CATEGORY_TRANSLATION,category_translation,__DATASET__,Conformity,Dataset schema must contain all expected columns,"Required columns=['product_category_name', 'product_category_name_english']","rows=71, columns=2, missing_columns=[], unexpected_columns=[]",0,0.0,NONE,PASS
DQ-MISS-0001,customers,customer_id,Completeness,Column should not contain unexpected missing values,0 missing values unless business rule permits NULL,0 missing values,0,0.0,NONE,PASS
DQ-MISS-0002,customers,customer_unique_id,Completeness,Column should not contain unexpected missing values,0 missing values unless business rule permits NULL,0 missing values,0,0.0,NONE,PASS
DQ-MISS-0003,customers,customer_zip_code_prefix,Completeness,Column should not contain unexpected missing values,0 missing values unless business rule permits NULL,0 missing values,0,0.0,NONE,PASS
DQ-MISS-0004,customers,customer_city,Completeness,Column should not contain unexpected missing values,0 missing values unless business rule permits NULL,0 missing values,0,0.0,NONE,PASS
DQ-MISS-0005,customers,customer_state,Completeness,Column should not contain unexpected missing values,0 missing values unless business rule permits NULL,0 missing values,0,0.0,NONE,PASS
